,skill_name,date,timeframe,timezone,staff,chats,chats_answered,abandoned,average_speed_to_answer,total_handling_time,average_handling_time
12345,Consumer-English,7/25/2016,13:25 - 13:40,Eastern Daylight Time,6,23,23,0,1,7950,345.6521739
1234555,Consumer-Spanish,7/25/2016,13:25 - 13:40,Eastern Daylight Time,2,3,3,0,2,0,0
